Symbol,Entry Date,Exit Date,Shares,Entry Price,Exit Price,Exit Reason,PnL %,PnL,Cash
AMD,2025-11-12,2025-11-18,6,258.89,231.47,STOP_LOSS,-10.59,-164.52,17913.17
GOOGL,2025-11-25,2025-12-17,7,323.44,299.17,STOP_LOSS,-7.5,-169.89,17743.28
AMZN,2025-12-02,2025-12-15,14,234.42,221.78,STOP_LOSS,-5.39,-176.96,17566.32
TSLA,2025-12-03,2026-02-04,4,446.74,407.56,STOP_LOSS,-8.77,-156.72,17409.6
SPY,2025-12-10,2025-12-17,11,687.57,672.04,STOP_LOSS,-2.26,-170.83,17238.77
QQQ,2025-12-19,2026-02-05,10,617.05,600.11,STOP_LOSS,-2.75,-169.4,17069.37
SPY,2025-12-19,2026-03-09,13,680.59,668.28,STOP_LOSS,-1.81,-160.03,16909.34
AMD,2026-01-02,2026-01-07,10,223.47,208.07,STOP_LOSS,-6.89,-154.0,16755.34
AMZN,2026-01-05,2026-02-05,19,233.06,224.43,STOP_LOSS,-3.7,-163.97,16591.37
NVDA,2026-01-05,2026-01-20,16,188.12,178.34,STOP_LOSS,-5.2,-156.48,16434.89
GOOGL,2026-01-16,2026-02-05,11,330.0,315.64,STOP_LOSS,-4.35,-157.96,16276.93
NVDA,2026-01-29,2026-02-03,16,192.51,182.56,STOP_LOSS,-5.17,-159.2,16117.73
META,2026-01-30,2026-02-04,3,716.5,671.58,STOP_LOSS,-6.27,-134.76,15982.97
AMD,2026-01-30,2026-02-04,6,236.73,211.74,STOP_LOSS,-10.56,-149.94,15833.03
NVDA,2026-02-12,2026-03-20,11,186.94,173.34,STOP_LOSS,-7.28,-149.6,15683.43
META,2026-04-29,2026-04-30,4,669.12,637.5,STOP_LOSS,-4.73,-126.48,15556.95
MSFT,2026-04-29,2026-04-30,6,424.46,402.1,STOP_LOSS,-5.27,-134.16,15422.79
GOOGL,2026-05-01,2026-06-02,7,385.69,365.92,STOP_LOSS,-5.13,-138.39,15284.4
AMD,2026-05-08,2026-05-19,2,455.19,401.43,STOP_LOSS,-11.81,-107.52,15176.88
AAPL,2026-05-08,2026-06-25,10,293.32,279.47,STOP_LOSS,-4.72,-138.5,15038.38
TSLA,2026-05-11,2026-05-18,4,445.0,414.03,STOP_LOSS,-6.96,-123.88,14914.5
NVDA,2026-05-12,2026-06-05,9,220.78,204.63,STOP_LOSS,-7.32,-145.35,14769.15
SPY,2026-05-15,2026-06-09,10,739.17,724.76,STOP_LOSS,-1.95,-144.1,14625.05
MSFT,2026-05-15,2026-06-09,6,421.92,399.1,STOP_LOSS,-5.41,-136.92,14488.13
AMZN,2026-05-29,2026-06-02,11,270.64,257.79,STOP_LOSS,-4.75,-141.35,14346.78
QQQ,2026-06-03,2026-06-05,7,744.21,724.4,STOP_LOSS,-2.66,-138.67,14208.11
SPY,2026-06-12,2026-06-26,7,741.75,722.77,STOP_LOSS,-2.56,-132.86,14075.25
NVDA,2026-06-18,2026-06-25,8,210.69,193.7,STOP_LOSS,-8.06,-135.92,13939.33
